OWNER,TABLE_NAME,COLUMN_NAME,COLUMN_DESC,DATA_TYPE,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,EXTERNAL_FLAG,PK_FLAG,REPORT_DESC,DEFAULT_VALUE,REC_DATE,REC_FUL_NAM,REC_STATUS
ACCELA,B1PERMIT,B1_PER_ID2,"Middle 5 characters of the Universal Tracking Number, which could be used for supplement permit number",VARCHAR2,5,NULL,NULL,N,,B1PERMIT_PK,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_PER_ID3,"Last 5 characters of the Universal Tracking Number, which is a sequential number for a type of permit",VARCHAR2,5,NULL,NULL,N,,B1PERMIT_PK,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_PER_SUB_TYPE,"Permit subtype. This is the third level of a defined permit. For example, ""Building/Building Permit/ Commercial/ NA"".",VARCHAR2,30,NULL,NULL,N,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_PER_TYPE,"Permit type. This is the second level of a defined permit. For example, ""Building/Building Permit/ Commercial/ NA"".",VARCHAR2,30,NULL,NULL,N,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_Q_UD1,Not used,VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_Q_UD2,Not used,VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_Q_UD3,Not used,VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_Q_UD4,Not used,VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_REF_ID,Not used,VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_REF_ID1,"Not used. In AE it means reference Application # 1,2,3 used for referencing supplemental permit #, inspection order, planning conditions etc.",VARCHAR2,5,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_REF_ID2,"Not used. In AE it means reference Application # 1,2,3 used for referencing supplemental permit #, inspection order, planning conditions etc.",VARCHAR2,5,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_REF_ID3,"Not used. In AE it means Reference Application # 1,2,3 used for referencing supplemental permit #, inspection order, planning conditions etc.",VARCHAR2,5,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_REPORTED_DATE,The reported date and time of CAP (application),DATE,7,NULL,NULL,Y,,,,,2006-07-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_SPECIAL_TEXT,Store project name for the project number,VARCHAR2,255,NULL,NULL,Y,,,,,2009-10-15 00:00:00.000,AA670,A
ACCELA,B1PERMIT,B1_STANDARD_TIME,Not used,NUMBER,22,15,2,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_TRACKING_NBR,IVR tracking number.,NUMBER,22,16,0,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,PROJECT_NBR,Project number (gets the next project number from rserv_prov table),NUMBER,22,22,0,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,R3_STD_TIME_CLASS_CODE,Not used in AA now. In AE it means Standard Time Class Code is for classifying an application for standard time resource allocation.,VARCHAR2,6,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,REC_DATE,Initial data input time stamp,DATE,7,NULL,NULL,N,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,REC_FUL_NAM,Initial data input user name or user ID,VARCHAR2,70,NULL,NULL,N,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,REC_STATUS,"Record status, value ""A"" and ""I"". It is a hidden field for tracking soft deletes.",VARCHAR2,1,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,SERV_PROV_CODE,Service provider code,VARCHAR2,15,NULL,NULL,N,,B1PERMIT_PK,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_ADDR_DESC,General address descriptions or location,VARCHAR2,255,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_ADDR_FLG,Application primary site address flag is used when there are multiple site addresses. The flag of "Y" indicates the address that will be printed.,VARCHAR2,1,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_ADDR_SOURCE_FLG,Indicates where the address source data came from. The default value is "Adr".,VARCHAR2,3,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_ADDR_STATUS,Application site address status. "A" for active.,VARCHAR2,1,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_ADDRESS_NBR,Application level address number,NUMBER,22,22,0,N,,B3ADDRES_PK,,,2011-03-16 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_ADDRESS1,"This field will be used to store User's addressline1 such as Street Address, P.O. Box, Company Name, C/O, etc..",VARCHAR2,200,NULL,NULL,Y,,,,,2008-10-14 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_ADDRESS2,"This field will be used to store User's addressline2 such as Apartment, Suite, Unit, Building, Floor, etc.",VARCHAR2,200,NULL,NULL,Y,,,,,2008-10-14 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_DISTANCE,Location based on distance,NUMBER,22,8,3,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_FULL_ADDRESS,Store the full address,VARCHAR2,1024,NULL,NULL,Y,,,,,2005-12-26 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_HSE_FRAC_NBR_END,Application house fraction #(Address Range) end,VARCHAR2,20,NULL,NULL,Y,,,,,2012-09-10 00:00:00.000,AA7.2.0,A
ACCELA,B3ADDRES,B1_HSE_FRAC_NBR_START,Application house fraction #(Address Range) start,VARCHAR2,20,NULL,NULL,Y,,,,,2012-09-10 00:00:00.000,AA7.2.0,A
ACCELA,B3ADDRES,B1_HSE_NBR_ALPHA_END,Application house # alphanumeric field end,VARCHAR2,20,NULL,NULL,Y,,,,,2012-09-10 00:00:00.000,AA7.2.0,A
ACCELA,B3ADDRES,B1_HSE_NBR_ALPHA_START,Application house # alphanumeric field start,VARCHAR2,20,NULL,NULL,Y,,,,,2012-09-10 00:00:00.000,AA7.2.0,A
ACCELA,B3ADDRES,B1_HSE_NBR_END,Application house # (Address Range) end,NUMBER,22,9,0,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_HSE_NBR_START,Application house # (Address Range) start,NUMBER,22,9,0,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_INSP_DISTRICT,Inspection district which corresponds to the primary site address,VARCHAR2,255,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_INSP_DISTRICT_PREFIX,Prefix and suffix of inspection district,VARCHAR2,10,NULL,NULL,Y,,,,,2008-12-22 00:00:00.000,AA670,A
ACCELA,B3ADDRES,B1_LEVEL_NBR_END,The floor end,VARCHAR2,20,NULL,NULL,Y,,,,,2012-09-10 00:00:00.000,AA7.2.0,A
ACCELA,B3ADDRES,B1_LEVEL_NBR_START,The floor start,VARCHAR2,20,NULL,NULL,Y,,,,,2012-09-10 00:00:00.000,AA7.2.0,A
ACCELA,B3ADDRES,B1_LEVEL_PREFIX,The floor prefix,VARCHAR2,20,NULL,NULL,Y,,,,,2012-09-10 00:00:00.000,AA7.2.0,A
ACCELA,B3ADDRES,B1_PER_ID1,"First 5 character of the Universal Tracking Number. The first two digits will be the Year and the other three characters are for permit type code. For example, ""01BLD"" or ""01FIR"" or ""01200"".",VARCHAR2,5,NULL,NULL,N,,B3ADDRES_PK,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_PER_ID2,"Middle 5 characters of the Universal Tracking Number, which could be use for the supplement permit number",VARCHAR2,5,NULL,NULL,N,,B3ADDRES_PK,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_PER_ID3,"Last 5 characters of the Universal Tracking Number, which is a sequential number for a type of permit",VARCHAR2,5,NULL,NULL,N,,B3ADDRES_PK,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_PRIMARY_ADDR_FLG,This is for identifying the address to be printed on the permit when there are multiple addresses involved,VARCHAR2,1,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_SECONDARY_ROAD,Secondary road,VARCHAR2,100,NULL,NULL,Y,,,,,2007-10-24 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_SECONDARY_ROAD_NBR,Secondary road number,NUMBER,22,9,0,Y,,,,,2012-09-10 00:00:00.000,AA7.2.0,A
ACCELA,B3ADDRES,B1_SITUS_CITY,Situs city,VARCHAR2,40,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_SITUS_COUNTRY,Situs country (outside US),VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_SITUS_COUNTRY_CODE,"Country code, to be used for internationalization.",VARCHAR2,2,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_SITUS_COUNTY,Situs county,VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_SITUS_NBRHD,Situs neighborhood number,VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_SITUS_NBRHD_PREFIX,Situs neighborhood number prefix,VARCHAR2,20,NULL,NULL,Y,,,,,2012-09-10 00:00:00.000,AA7.2.0,A
ACCELA,B3ADDRES,B1_SITUS_STATE,Situs state,VARCHAR2,30,NULL,NULL,Y,,,,,2008-10-14 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_SITUS_ZIP,Situs zip code,VARCHAR2,10,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_STR_DIR,Street direction,VARCHAR2,20,NULL,NULL,Y,,,,,2012-09-10 00:00:00.000,AA7.2.0,A
ACCELA,B3ADDRES,B1_STR_NAME,Street name,VARCHAR2,40,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_STR_PREFIX,Street name prefix,VARCHAR2,20,NULL,NULL,Y,,,,,2012-09-10 00:00:00.000,AA7.2.0,A
ACCELA,B3ADDRES,B1_STR_SUFFIX,Street name suffix,VARCHAR2,30,NULL,NULL,Y,,,,,2008-12-22 00:00:00.000,AA670,A
ACCELA,B3ADDRES,B1_STR_SUFFIX_DIR,Street suffix direction,VARCHAR2,20,NULL,NULL,Y,,,,,2012-09-10 00:00:00.000,AA7.2.0,A
ACCELA,B3ADDRES,B1_UDF1,User defined field (no longer used),VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_UDF2,User defined field (no longer used),VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_UDF3,User defined field (no longer used),VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_UDF4,User defined field (no longer used),VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_UNIT_END,Application house # unit (Unit Range) end,VARCHAR2,10,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_UNIT_START,Application house # unit (Unit Range) start,VARCHAR2,10,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_UNIT_TYPE,Application house # unit type,VARCHAR2,20,NULL,NULL,Y,,,,,2012-09-10 00:00:00.000,AA7.2.0,A
ACCELA,B3ADDRES,B1_VALIDATE_ADDR_FLAG,it is used for identifying whether an application address is been validated or not,VARCHAR2,1,NULL,NULL,Y,,,,,2012-11-01 00:00:00.000,AA7.2.0,A
ACCELA,B3ADDRES,B1_X_COORD,Application site address X coordinate,NUMBER,22,20,8,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,B1_Y_COORD,Application site address Y coordinate,NUMBER,22,20,8,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,C6_ADDRESS_TYPE,The user will go to the address tab to add the incident and court address; we need to add an address type field. The standard options are as follows: 1.COURT 2.INCIDENT,VARCHAR2,30,NULL,NULL,Y,,,,,2007-09-11 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,EXT_ADDRESS_UID,To store External Address data PKS that could associate with CAP Address,VARCHAR2,100,NULL,NULL,Y,,,,,2006-10-11 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,L1_ADDRESS_NBR,Address number copied from L3ADDRES table,NUMBER,22,22,0,Y,,,,,2011-03-16 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,REC_DATE,Initial data input time stamp,DATE,7,NULL,NULL,N,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,REC_FUL_NAM,Initial data input user name or user ID,VARCHAR2,70,NULL,NULL,N,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,REC_STATUS,"Record status, value ""A"" and ""I"". It is a hidden field for tracking soft deletes.",VARCHAR2,1,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3ADDRES,SERV_PROV_CODE,Service provider code,VARCHAR2,15,NULL,NULL,N,,B3ADDRES_PK,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_BLOCK,Block,VARCHAR2,15,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_BOOK,"Application level book, which is a portion of (BPP)Book, Page, Parcel)",VARCHAR2,8,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_CENSUS_TRACT,Census tract,VARCHAR2,10,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_COUNCIL_DISTRICT,Council district,VARCHAR2,10,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_EVENT_ID,"Not used currently (Originally, this was for tracking APO genealogy.)",NUMBER,22,15,0,Y,,,,,2006-07-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_EXEMPT_VALUE,Application exemption value,NUMBER,22,15,2,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_GIS_SEQ_NBR,Application and Accela GIS sequence number,NUMBER,22,15,0,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_IMPROVED_VALUE,Application improved value,NUMBER,22,15,2,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_INSPECTION_DISTRICT,Application inspection district,VARCHAR2,255,NULL,NULL,Y,,,,,2006-07-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_LAND_VALUE,Land value,NUMBER,22,15,2,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_LEGAL_DESC,Legal description,VARCHAR2,2000,NULL,NULL,Y,,,,,2006-01-03 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_LOT,Lot,VARCHAR2,40,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_MAP_NBR,Map number,VARCHAR2,10,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_MAP_REF,Map reference information,VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_PAGE,"Application level page, which is a portion of (BPP)Book, Page, Parcel)",VARCHAR2,8,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_PARCEL,"Application level parcel, which is a portion of (BPP)Book, Page, Parcel)",VARCHAR2,9,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_PARCEL_AREA,Application parcel area,NUMBER,22,15,2,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_PARCEL_NBR,Application level parcel number,VARCHAR2,24,NULL,NULL,N,,B3PARCEL_PK,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_PARCEL_STATUS,Application parcel status,VARCHAR2,1,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_PER_ID1,"First 5 characters of the Universal Tracking Number. The first two digits will be the Year and the other three characters are for permit type code. For example, ""01BLD"" or ""01FIR"" or ""01200"".",VARCHAR2,5,NULL,NULL,N,,B3PARCEL_PK,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_PER_ID2,"Middle 5 characters of the Universal Tracking Number, which could be used for the supplement permit number",VARCHAR2,5,NULL,NULL,N,,B3PARCEL_PK,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_PER_ID3,"Last 5 characters of the Universal Tracking Number, which is a sequential number for a type of permit",VARCHAR2,5,NULL,NULL,N,,B3PARCEL_PK,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_PLAN_AREA,Plan area,VARCHAR2,8,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_PRIMARY_PAR_FLG,Indicate whether the parcel is primary,VARCHAR2,1,NULL,NULL,Y,,,,,2008-02-29 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_RANGE,Range information,VARCHAR2,10,NULL,NULL,Y,,,,,2008-06-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_SECTION,Section number,NUMBER,22,2,0,Y,,,,,2008-06-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_SUBDIVISION,Parcel subdivision information,VARCHAR2,240,NULL,NULL,Y,,,,,2008-02-29 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_SUPERVISOR_DISTRICT,Supervisor district,VARCHAR2,10,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_TOWNSHIP,Township information,VARCHAR2,10,NULL,NULL,Y,,,,,2008-06-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_TRACT,Tract,VARCHAR2,80,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_UDF1,User defined field (no longer used),VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_UDF2,User defined field (no longer used),VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_UDF3,User defined field (no longer used),VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,B1_UDF4,User defined field (no longer used),VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,EXT_PARCEL_UID,To store External Parcel data PKS that could associate with CAP Parcel,VARCHAR2,100,NULL,NULL,Y,,,,,2006-10-11 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,L1_PARCEL_NBR,Parcel copy over from reference parcel table L3PARCEL,VARCHAR2,24,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,REC_DATE,Initial data input time stamp,DATE,7,NULL,NULL,N,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,REC_FUL_NAM,Initial data input user name or user ID,VARCHAR2,70,NULL,NULL,N,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,REC_STATUS,"Record status, value ""A"" and ""I"". It is a hidden field for tracking soft deletes.",VARCHAR2,1,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B3PARCEL,SERV_PROV_CODE,Service provider code,VARCHAR2,15,NULL,NULL,N,,B3PARCEL_PK,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,BPERMIT_DETAIL,ACTION,Action,VARCHAR2,100,NULL,NULL,Y,,,,,2008-10-14 00:00:00.000,CHAN,A
ACCELA,BPERMIT_DETAIL,APP_STATUS,Application status,VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,BPERMIT_DETAIL,APP_STATUS_DATE,Application status date,DATE,7,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,BPERMIT_DETAIL,APP_STATUS_REASON,Explains why the CAP is set to a certain status,VARCHAR2,50,NULL,NULL,Y,,,,,2008-06-05 00:00:00.000,CHAN,A
ACCELA,BPERMIT_DETAIL,B1_ACTUAL_PROD_UNITS,Estimated cost per production unit.,NUMBER,22,15,2,Y,,,,,2007-09-11 00:00:00.000,CHAN,A
ACCELA,BPERMIT_DETAIL,B1_APPL_SUB_STATUS,Sub-status of service request,VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,BPERMIT_DETAIL,B1_ASGN_DATE,Date of assigned service request,DATE,7,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,BPERMIT_DETAIL,B1_ASGN_DEPT,Department which Users belonged to. Should refer to G3DPTTYP.R3_DEPT_KEY.,VARCHAR2,100,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,BPERMIT_DETAIL,B1_ASGN_STAFF,User who assigned the service request. Should be referenced from G3STAFFS.GA_USER_ID.,VARCHAR2,50,NULL,NULL,Y,,,,,2006-10-11 00:00:00.000,CHAN,A
ACCELA,BPERMIT_DETAIL,B1_ASIGROUP_CODE,Record the ASI group code data.,VARCHAR2,12,NULL,NULL,Y,,,,,2009-11-06 00:00:00.000,AA7.0,A
ACCELA,BPERMIT_DETAIL,B1_ASITABLEGROUP_CODE,Record the ASI Table group code data.,VARCHAR2,255,NULL,NULL,Y,,,,,2013-07-09 00:00:00.000,AA7.2.0,A
